[0509/162612.842:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x2cbc03513e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/162739.816:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x492407c26a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/162811.319:ERROR:gpu\ipc\client\command_buffer_proxy_impl.cc:484] GPU state invalid after WaitForGetOffsetInRange.
[0509/162834.803:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x5dec001ade00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/162834.823:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x5dec001ade00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/162834.843:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x5dec001ade00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/162834.875:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x5dec001ade00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/162911.227:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x6414051ee600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/162911.250:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x6414051ee600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/162911.270:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x6414051ee600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
